

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   153.00000 -0.361775E+01  0.292925E+00 -0.361775E+01  0.298164E+00 -0.596381E+01  -1051.436  -1042.897  -1038.434     153
   154.00000 -0.361775E+01  0.295808E+00 -0.361777E+01  0.301048E+00 -0.597185E+01  -1065.036  -1056.313  -1051.662     154
   155.00000 -0.361775E+01  0.300726E+00 -0.361781E+01  0.305966E+00 -0.597966E+01  -1079.898  -1070.900  -1065.968     155
   156.00000 -0.361775E+01  0.306940E+00 -0.361784E+01  0.312180E+00 -0.598719E+01  -1097.474  -1087.948  -1082.481     156
   157.00000 -0.361775E+01  0.313419E+00 -0.361784E+01  0.318659E+00 -0.599441E+01  -1116.114  -1106.157  -1100.251     157
   158.00000 -0.361775E+01  0.320406E+00 -0.361785E+01  0.325645E+00 -0.600133E+01  -1134.468  -1124.298  -1118.175     158
   159.00000 -0.361775E+01  0.326287E+00 -0.361783E+01  0.331526E+00 -0.600794E+01  -1153.268  -1142.850  -1136.475     159
   160.00000 -0.361775E+01  0.331624E+00 -0.361782E+01  0.336864E+00 -0.601426E+01  -1169.473  -1159.225  -1153.023     160
   161.00000 -0.361775E+01  0.337368E+00 -0.361783E+01  0.342607E+00 -0.602033E+01  -1185.027  -1174.873  -1168.766     161
   162.00000 -0.361775E+01  0.340144E+00 -0.361777E+01  0.345383E+00 -0.602613E+01  -1200.972  -1190.671  -1184.416     162
   163.00000 -0.361775E+01  0.341804E+00 -0.361774E+01  0.347043E+00 -0.603172E+01  -1211.082  -1201.559  -1196.090     163
   164.00000 -0.361775E+01  0.341932E+00 -0.361771E+01  0.347181E+00 -0.603714E+01  -1220.706  -1211.599  -1206.552     164
   165.00000 -0.361775E+01  0.341932E+00 -0.361771E+01  0.347223E+00 -0.604244E+01  -1227.305  -1218.783  -1214.332     165
   166.00000 -0.361775E+01  0.341932E+00 -0.361771E+01  0.347267E+00 -0.604760E+01  -1234.539  -1226.178  -1221.891     166
   167.00000 -0.361775E+01  0.341932E+00 -0.361771E+01  0.347311E+00 -0.605265E+01  -1241.332  -1233.037  -1228.817     167
   168.00000 -0.361775E+01  0.341932E+00 -0.361771E+01  0.347355E+00 -0.605759E+01  -1248.153  -1239.867  -1235.656     168
   169.00000 -0.361775E+01  0.341932E+00 -0.361771E+01  0.347400E+00 -0.606241E+01  -1254.757  -1246.474  -1242.267     169
   170.00000 -0.361775E+01  0.341932E+00 -0.361771E+01  0.347445E+00 -0.606713E+01  -1261.246  -1252.964  -1248.756     170
   171.00000 -0.361775E+01  0.341932E+00 -0.361771E+01  0.347489E+00 -0.607174E+01  -1267.576  -1259.293  -1255.085     171
   172.00000 -0.361775E+01  0.341932E+00 -0.361771E+01  0.347534E+00 -0.607624E+01  -1273.770  -1265.487  -1261.279     172
   173.00000 -0.361775E+01  0.342546E+00 -0.361772E+01  0.348148E+00 -0.608064E+01  -1279.821  -1271.539  -1267.330     173
   174.00000 -0.361775E+01  0.342986E+00 -0.361772E+01  0.348588E+00 -0.608494E+01  -1286.819  -1278.300  -1273.857     174
   175.00000 -0.361775E+01  0.343625E+00 -0.361772E+01  0.349226E+00 -0.608912E+01  -1293.015  -1284.490  -1280.047     175
   176.00000 -0.361775E+01  0.345542E+00 -0.361775E+01  0.351144E+00 -0.609320E+01  -1300.536  -1291.560  -1286.783     176
   177.00000 -0.361775E+01  0.348365E+00 -0.361777E+01  0.353966E+00 -0.609716E+01  -1311.879  -1302.378  -1296.911     177
   178.00000 -0.361775E+01  0.352782E+00 -0.361780E+01  0.358384E+00 -0.610105E+01  -1325.249  -1315.504  -1309.821     178
   179.00000 -0.361775E+01  0.358866E+00 -0.361783E+01  0.364468E+00 -0.610485E+01  -1342.195  -1331.686  -1325.224     179
   180.00000 -0.361775E+01  0.366040E+00 -0.361785E+01  0.371642E+00 -0.610854E+01  -1362.310  -1350.899  -1343.518     180
   181.00000 -0.361775E+01  0.375457E+00 -0.361790E+01  0.381059E+00 -0.611212E+01  -1384.123  -1371.938  -1363.768     181
   182.00000 -0.361775E+01  0.382887E+00 -0.361786E+01  0.388488E+00 -0.611555E+01  -1410.883  -1397.359  -1387.831     182
   183.00000 -0.361775E+01  0.390075E+00 -0.361785E+01  0.395676E+00 -0.611885E+01  -1430.753  -1417.722  -1408.682     183
   184.00000 -0.361775E+01  0.397825E+00 -0.361787E+01  0.403426E+00 -0.612203E+01  -1451.535  -1438.491  -1429.442     184
   185.00000 -0.361775E+01  0.402464E+00 -0.361780E+01  0.408065E+00 -0.612509E+01  -1473.105  -1459.717  -1450.321     185
   186.00000 -0.361775E+01  0.405398E+00 -0.361777E+01  0.410999E+00 -0.612805E+01  -1485.970  -1473.968  -1465.969     186
   187.00000 -0.361775E+01  0.407337E+00 -0.361775E+01  0.412938E+00 -0.613094E+01  -1496.719  -1485.779  -1478.864     187
